Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,183631.72,96875.73,111885.76,137856.76,136829.84,127552.63,118749.06,195837.21,161942.99,159891.79,168041.74,89665.67
2011,154518.71,63500.82,146962.79,161745.60,167216.40,150868.19,83296.26,80735.78,43245.65,48943.10,49891.48,61141.65
2012,92340.77,101989.75,102298.75,108726.80,82286.26,74457.93,35157.84,67779.07,69767.81,219097.10,237236.94,202465.70
2013,150521.56,126485.71,110128.70,185362.53,181963.85,230244.24,207393.59,349622.69,343965.38,381889.46,403017.85,332193.05
2014,243894.75,248340.91,245690.87,295719.84,320486.70,268810.27,302498.35,344137.10,347459.18,348616.83,409861.60,372919.57
2015,338539.67,342740.11,312423.78,356681.79,405695.91,377285.43,352129.02,369592.50,362860.86,368841.86,345024.45,286759.95
2016,296774.99,279980.99,231078.53,278815.36,266086.15,245464.67,197048.64,229078.83,238300.89,226486.18,206964.74,106948.30
2017,95159.88,119474.66,83771.74,326841.01,318050.04,270634.49,232900.35,306263.99,300443.86,310707.15,224162.87,356171.54
2020,97022.00,348607.00,603642.00,516237.00,536813.00,690661.00,608786.00,1163655.00,768325.00,1292733.00,1205897.00,362725.00
2021,863920.00,741077.00,1034285.00,1179453.00,1025978.00,988984.00,1130720.00,1010229.00,994401.00,988752.00,813805.00,194457.00
2022,543194.00,461614.00,836374.00,898923.00,427590.00,476116.00,457543.00,487255.00,602196.00,607848.00,521757.00,217762.00
