Year,Revenue,Expenditure
1986,0.1140,0.1280
1987,0.1330,0.1070
1988,0.1240,0.0990
1989,0.1450,0.1110
1990,0.1470,0.1210
1991,0.1550,0.1210
1992,0.1570,0.1160
1993,0.1550,0.1230
1994,0.1740,0.1240
1995,0.1660,0.1280
1996,0.1650,0.1325
1997,0.1700,0.1415
1998,0.1520,0.1365
1999,0.1430,0.1445
2000,0.1390,0.1371
2001,0.1410,0.1331
2002,0.1330,0.1393
2003,0.1360,0.1300
2004,0.1330,0.1190
2005,0.1380,0.1114
2006,0.1500,0.1126
2007,0.1580,0.1230
2008,0.1490,0.1242
2009,0.1340,0.1372
2010,0.1290,0.1302
2011,0.1340,0.1250
2012,0.1390,0.1320
2013,0.1420,0.1290
2014,0.1450,0.1251
2015,0.1510,0.1381
2016,0.1450,0.1488
2017,0.1490,0.1520
2018,0.1560,0.1675
2019,0.1610,0.1762
2020,0.1590,0.2149
,,
,,
