year,revenue,expenditure,Factor,Real revenue,real expenditure,Real GDP
1986,79245,88885,0.161167749,491692.6644,551506.12,4298952.102
1987,103214,83002,0.173250698,595749.403,479086.0925,4486464.21
1988,112861,90202,0.190159895,593505.7954,474348.1783,4786919.628
1989,152410,117264,0.207464335,734632.2938,565224.8625,5082938.822
1990,180902,146982,0.234345153,771946.8383,627203.0723,5239629.18
1991,220787,172214,0.272766321,809436.4397,631360.9362,5216763.958
1992,242714,179109,0.294265391,824813.2712,608664.8491,5238550.681
1993,260405,205805,0.314303752,828513.8128,654796.5102,5352850.094
1994,336160,240751,0.345923434,971775.7369,695966.1483,5586965.874
1995,361220,277488,0.372359954,970082.8356,745214.4009,5845375.623
1996,410449,327671,0.400990582,1023587.631,817153.8547,6187934.969
1997,471843,392308,0.426091854,1107373.905,920712.2745,6508866.75
1998,462515,412704,0.470429568,983175.8711,877291.7953,6475405.278
1999,478502,483870,0.500229586,956564.7723,967295.8449,6692101.555
2000,514762,508080,0.529327609,972482.8095,959859.2473,6985383.229
2001,563732,535921,0.559069798,1008339.213,958594.0825,7198383.735
2002,567141,592021,0.582724554,973257.4263,1015953.413,7465894.031
2003,626630,600090,0.601325887,1042080.531,997944.7294,7845677.426
2004,699768,625924,0.636748543,1098970.712,983000.2855,8361077.904
2005,795709,642680,0.674386071,1179901.297,952985.2814,8774324.608
2006,979638,734321,0.7088579,1381994.897,1035921.304,9240804.277
2007,1136560,881201,0.731288218,1554188.858,1204998.219,9843239.249
2008,1202905,998804,0.78378898,1534730.688,1274327.69,10270877.53
2009,1123211,1142877,0.805251149,1394857.992,1419280.186,10419633.02
2010,1207926,1228140,0.840447745,1437241.05,1461292.516,11183861
2011,1359942,1278700,0.87338326,1557096.48,1464076.607,11615360.39
2012,1534932,1464960,0.89080006,1723093.732,1644544.119,12416466.19
2013,1716093,1556721,0.909160014,1887558.817,1712262.942,13254643.63
2014,1908527,1660434,0.936917172,2037028.52,1772231.367,14096046.75
2015,2108956,1921281,0.93017434,2267269.595,2065506.343,14990907.45
2016,2195914,2244881.87,0.942083472,2330912.351,2382890.622,16062675.89
2017,2473132,2513228,0.963942257,2565643.307,2607239.159,17175978.09
2018,2850184.314,3059228,1,2850184.314,3059228,18265190.26
2019,3137498,3436860,1.006970763,3115778.646,3413068.31,19382750.61
2020,2855959.373,3846994,1.023590717,2790138.018,3758332.249,17537843.28
2021,3005538.96,4246206.54,1.047066118,2870438.561,4055337.547,18538053.84
2022,3605423,5405884,,,,
