Time,PH 2Y,5Y CDS,INF,ON RRP,US 1M,VT
October 2018,6.819,98.026,7.1,4.5,2.1886,163668.21
November 2018,6.738,93.407,6.3,4.75,2.3049,214680.84
December 2018,6.885,88.231,5.4,4.75,2.425,147497.11
January 2019,6.094,70.257,4.4,4.75,2.3891,417734.07
February 2019,6.058,61.051,3.8,4.75,2.4043,220723.23
March 2019,5.822,58.382,3.4,4.75,2.4243,567064.91
April 2019,5.968,50.74,3.2,4.75,2.4189,279044.03
May 2019,5.529,62.879,3.2,4.5,2.3172,572625.36
June 2019,4.949,48.984,2.7,4.5,2.1259,507641.98
July 2019,4.423,45.19,2.2,4.5,1.9878,780664.34
August 2019,3.904,48.208,1.4,4.25,2.0849,672307.93
September 2019,4.041,48.077,0.5,4,1.8581,324476.55
October 2019,3.881,39.836,0.6,4,1.5393,388885.71
November 2019,3.791,40.152,1.2,4,1.5931,302437.95
December 2019,3.738,33.54,2.4,4,1.4299,261630.34
January 2020,4.062,41.524,3,4,1.5243,543657.45
February 2020,3.863,54.88,2.5,3.75,1.43,727712.83
March 2020,4.469,104.411,2.2,3.25,0.0076,486090.89
April 2020,3.077,80.481,1.8,2.75,0.0482,440023.62
May 2020,2.54,74.954,1.6,2.75,0.1115,629255.31
June 2020,2.169,65.583,2.3,2.25,0.0913,713173.84
July 2020,2.044,55.653,2.4,2.25,0.0811,486601.61
August 2020,2.118,44.903,2.2,2.25,0.0811,565407.47
September 2020,2.118,55.95,2.2,2.25,0.0659,419789.75
October 2020,2.071,46.838,2.3,2.25,0.076,331786.58
November 2020,1.912,35.966,3,2,0.076,317083.64
December 2020,1.846,35.554,3.3,2,0.0304,474792.55
January 2021,1.807,41.843,3.7,2,0.0456,632393.95
February 2021,2.1151,40.836,4.2,2,0.0152,427418.27
March 2021,2.419,44.758,4.1,2,-0.0025,451169.37
April 2021,2.3659,46.042,4.1,2,-0.0025,386249.95
May 2021,2.1699,46.224,4.1,2,-0.0076,449459.62
June 2021,1.9521,43.562,3.7,2,0.038,632531.47
July 2021,1.9694,50.93,3.7,2,0.033,445158.99
August 2021,1.9539,44.393,4.4,2,0.0253,456660.2
September 2021,2.102,51.559,4.2,2,0.0431,417319.29
October 2021,2.3758,56.542,4,2,0.0482,299614.13
November 2021,2.7781,68.64,3.7,2,0.0963,319825.53
December 2021,2.6781,56.126,3.1,2,0.0152,319070.85
January 2022,2.5283,72.727,3,2,0.0304,381583.82
February 2022,3.081,95.723,3,2,0.0482,332089.27
March 2022,3.337,78.674,4,2,0.109,402110.32
April 2022,3.4336,110.681,4.9,2,0.2966,433534.50
May 2022,4.1393,95.443,5.4,2,0.7025,406501.69
June 2022,4.3854,129.583,6.1,2.5,1.0933,338609.13
July 2022,4.8256,104.14,6.4,3.25,2.1811,490104.45
August 2022,4.6644,101.29,6.3,3.75,2.2951,586430.42
September 2022,5.2158,149.629,6.9,4.25,2.7206,431679.99
October 2022,5.9251,126.85,7.7,4.25,3.6501,310967.46
November 2022,6.0021,92.338,8,5,3.973,430869.99
December 2022,5.9706,97.112,8.1,5.5,4.0223,341169.08
