Time,PH 7Y,5Y CDS,GF,INF,ON RRP,US 7Y,VT,CR,OP,VIX
Oct-18,7.848,98.026,1288.2,7.1,4.5,3.0624,163668.21,9,65.31,21.23
Nov-18,6.999,93.407,1292.7,6.3,4.75,2.8973,214680.84,9,50.93,18.07
Dec-18,7.061,88.231,1347.1,5.4,4.75,2.5857,147497.11,9,45.41,25.42
Jan-19,6.3,70.257,1384,4.4,4.75,2.5172,417734.07,9,53.79,16.57
Feb-19,6.252,61.051,1375.3,3.8,4.75,2.6205,220723.23,9,57.22,14.78
Mar-19,5.599,58.382,1350.4,3.4,4.75,2.3132,567064.91,9,60.14,13.71
Apr-19,5.896,50.74,1340.4,3.2,4.75,2.3872,279044.03,8,63.91,13.12
May-19,5.559,62.879,1357.5,3.2,4.5,2.0167,572625.36,8,53.5,18.71
Jun-19,5.037,48.984,1452.9,2.7,4.5,1.875,507641.98,8,58.47,15.08
Jul-19,4.726,45.19,1473.3,2.2,4.5,1.9133,780664.34,8,58.58,16.12
Aug-19,4.322,48.208,1563.1,1.4,4.25,1.4505,672307.93,8,55.1,18.98
Sep-19,4.67,48.077,1514.5,0.5,4,1.6131,324476.55,8,54.07,16.24
Oct-19,4.479,39.836,1556.9,0.6,4,1.6037,388885.71,8,54.18,13.22
Nov-19,4.515,40.152,1510.7,1.2,4,1.7274,302437.95,8,55.17,12.62
Dec-19,4.279,33.54,1567.6,2.4,4,1.8313,261630.34,8,61.06,13.78
Jan-20,4.427,41.524,1626.1,3,4,1.4199,543657.45,8,51.56,18.84
Feb-20,4.249,54.88,1596.6,2.5,3.75,1.0623,727712.83,8,44.76,40.11
Mar-20,4.676,104.411,1606.7,2.2,3.25,0.5407,486090.89,8,20.48,53.54
Apr-20,3.413,80.481,1713.2,1.8,2.75,0.5342,440023.62,8,18.84,34.15
May-20,2.949,74.954,1776.8,1.6,2.75,0.4977,629255.31,8,35.49,27.51
Jun-20,2.632,65.583,1836.5,2.3,2.25,0.4909,713173.84,8,39.27,30.43
Jul-20,2.642,55.653,2026.9,2.4,2.25,0.3818,486601.61,8,40.27,24.46
Aug-20,2.704,44.903,2009.5,2.2,2.25,0.4886,565407.47,8,42.61,26.41
Sep-20,2.894,55.95,1931.7,2.2,2.25,0.4704,419789.75,8,40.22,26.37
Oct-20,2.938,46.838,1918.3,2.3,2.25,0.6419,331786.58,8,35.79,38.02
Nov-20,2.838,35.966,1807.2,3,2,0.6113,317083.64,8,45.34,20.57
Dec-20,2.783,35.554,1921.1,3.3,2,0.6433,474792.55,8,48.52,22.75
Jan-21,2.826,41.843,1864,3.7,2,0.7546,632393.95,8,52.2,33.09
Feb-21,3.4814,40.836,1745.9,4.2,2,1.118,427418.27,8,61.5,27.95
Mar-21,4.0138,44.758,1727.3,4.1,2,1.4195,451169.37,8,59.16,19.4
Apr-21,3.6236,46.042,1780.2,4.1,2,1.3086,386249.95,8,63.58,18.61
May-21,3.7084,46.224,1916.8,4.1,2,1.2617,449459.62,8,66.32,16.76
Jun-21,3.5098,43.562,1782.5,3.7,2,1.236,632531.47,8,73.47,15.83
Jul-21,3.4992,50.93,1823.8,3.7,2,0.9954,445158.99,8,73.95,18.24
Aug-21,3.5866,44.393,1825.1,4.4,2,1.0855,456660.2,8,68.5,16.48
Sep-21,3.8778,51.559,1762.3,4.2,2,1.2851,417319.29,8,75.03,23.14
Oct-21,4.3981,56.542,1790.7,4,2,1.4504,299614.13,8,83.57,16.26
Nov-21,4.5267,68.64,1781.9,3.7,2,1.3708,319825.53,8,66.18,27.19
Dec-21,4.6311,56.126,1835.9,3.1,2,1.4363,319070.85,8,75.21,17.22
Jan-22,4.7963,72.727,1802.2,3,2,1.7381,381583.82,8,88.15,24.83
Feb-22,5.2544,95.723,1907.4,3,2,1.8058,332089.27,8,95.72,30.15
Mar-22,5.5823,78.674,1959.5,4,2,2.4287,402110.32,8,100.28,20.56
Apr-22,5.7214,110.681,1918.6,4.9,2,2.9771,433534.5,8,104.69,33.4
May-22,6.3114,95.443,1848.4,5.4,2,2.8691,406501.69,8,114.67,26.19
Jun-22,6.5434,129.583,1807.3,6.1,2.5,3.0751,338609.13,8,105.76,28.71
Jul-22,6.0617,104.14,1762.9,6.4,3.25,2.6891,490104.45,8,98.62,21.33
Aug-22,5.9213,101.29,1716.9,6.3,3.75,3.314,586430.42,8,89.55,25.87
Sep-22,6.7166,149.629,1662.4,6.9,4.25,3.9886,431679.99,8,79.49,31.62
Oct-22,7.0822,126.85,1640.7,7.7,4.25,4.1479,310967.46,8,86.53,25.88
Nov-22,6.8638,92.338,1746,8,5,3.6835,430869.99,8,80.55,20.58
Dec-22,6.6585,97.112,1826.2,8.1,5.5,3.973,341169.08,8,80.26,21.67
